myindex,sum
20150127_PP,1720.0
20150127_RB,300.0
20150127_RM,-330.0
20150127_RU,300.0
20150127_SR,-12370.0
20150127_TA,100.0
20150127_YY,6420.0
20150127_ZC,0.0
20150127_ZN,-1525.0
20150127_p,4740.0
20150128_A,10320.0
20150128_AG,75.0
20150128_AL,-975.0
20150128_AU,-6549.96
20150128_BU,-1920.0
20150128_C,-380.0
20150128_CF,7225.0
20150128_CS,6120.0
20150128_CU,0.0
20150128_FG,-1080.0
20150128_HC,-180.0
20150128_I,-3500.0
20150128_J,-1800.0
20150128_JD,-690.0
20150128_JM,-510.0
20150128_L,-2475.0
20150128_M,-220.0
20150128_MA,900.0
20150128_OI,2280.0
20150128_PP,-5880.0
20150128_RB,-2740.0
20150128_RM,-40.0
20150128_RU,-13150.0
20150128_SR,-370.0
20150128_TA,500.0
20150128_YY,9420.0
20150128_ZC,0.0
20150128_ZN,-6900.0
20150128_p,9600.0
20150129_A,-1110.0
20150129_AG,7880.0
20150129_AL,1425.0
20150129_AU,42299.87
20150129_BU,0.0
20150129_C,730.0
20150129_CF,-525.0
20150129_CS,-10.0
20150129_CU,0.0
20150129_FG,-2200.0
20150129_HC,-10.0
20150129_I,-3100.0
20150129_J,-1800.0
20150129_JD,-1810.0
20150129_JM,600.0
20150129_L,-1425.0
20150129_M,500.0
20150129_MA,-1520.0
20150129_OI,16000.0
20150129_PP,-1075.0
20150129_RB,450.0
20150129_RM,-1310.0
20150129_RU,-250.0
20150129_SR,640.0
20150129_TA,100.0
20150129_YY,7980.0
20150129_ZC,0.0
20150129_ZN,1400.0
20150129_p,13180.0
20150130_A,-570.0
20150130_AG,-2625.0
20150130_AL,-2775.0
20150130_AU,-53699.92
20150130_BU,0.0
20150130_C,-980.0
20150130_CF,-5000.0
20150130_CS,100.0
20150130_CU,0.0
20150130_FG,-430.0
20150130_HC,-1200.0
20150130_I,-200.0
20150130_J,200.0
20150130_JD,0.0
20150130_JM,630.0
20150130_L,-1925.0
20150130_M,-2790.0
20150130_MA,-3970.0
