C,stockdate,symbol,totalposition,profit,comm,equity
6863.0,2017-01-18 10:51:39,SR,-8.0,-0.0,20.0,-20.0
6858.0,2017-01-18 13:31:04,SR,-3.0,400.0,50.0,350.0
6858.0,2017-01-18 13:31:04,SR,-4.0,-0.0,10.0,-10.0
6858.0,2017-01-18 13:31:04,SR,-5.0,-0.0,10.0,-10.0
6858.0,2017-01-18 13:31:04,SR,-7.0,-0.0,20.0,-20.0
6858.0,2017-01-18 13:31:04,SR,-6.0,-0.0,10.0,-10.0
6861.0,2017-01-18 13:38:20,SR,-2.0,-180.0,40.0,-220.0
6861.0,2017-01-18 13:38:23,SR,-1.0,-0.0,10.0,-10.0
6861.0,2017-01-18 13:38:32,SR,1.0,-0.0,20.0,-20.0
6861.0,2017-01-18 13:38:32,SR,2.0,0.0,10.0,-10.0
6861.0,2017-01-18 13:38:33,SR,3.0,0.0,10.0,-10.0
6860.0,2017-01-18 13:50:03,SR,8.0,-30.0,50.0,-80.0
6859.0,2017-01-18 13:50:12,SR,3.0,-80.0,50.0,-130.0
6859.0,2017-01-18 13:50:12,SR,4.0,0.0,10.0,-10.0
6859.0,2017-01-18 13:50:12,SR,6.0,0.0,20.0,-20.0
6859.0,2017-01-18 13:50:12,SR,5.0,0.0,10.0,-10.0
6863.0,2017-01-18 13:51:49,SR,8.0,200.0,30.0,170.0
6861.0,2017-01-18 13:53:58,SR,18.0,-160.0,100.0,-260.0
6861.0,2017-01-18 13:53:58,SR,19.0,0.0,10.0,-10.0
6857.0,2017-01-18 13:54:47,SR,16.0,-760.0,30.0,-790.0
6857.0,2017-01-18 13:54:47,SR,11.0,0.0,50.0,-50.0
6857.0,2017-01-18 13:54:47,SR,8.0,0.0,30.0,-30.0
6860.0,2017-01-18 13:58:13,SR,9.0,240.0,10.0,230.0
6860.0,2017-01-18 13:58:13,SR,10.0,0.0,10.0,-10.0
6860.0,2017-01-18 13:58:15,SR,15.0,0.0,50.0,-50.0
6860.0,2017-01-18 13:58:16,SR,16.0,0.0,10.0,-10.0
6860.0,2017-01-18 13:58:20,SR,18.0,0.0,20.0,-20.0
6860.0,2017-01-18 13:58:22,SR,19.0,0.0,10.0,-10.0
6859.0,2017-01-18 14:01:13,SR,25.0,-190.0,60.0,-250.0
6859.0,2017-01-18 14:13:01,SR,31.0,0.0,60.0,-60.0
6858.0,2017-01-18 14:13:14,SR,26.0,-310.0,50.0,-360.0
6858.0,2017-01-18 14:13:14,SR,25.0,0.0,10.0,-10.0
6858.0,2017-01-18 14:13:14,SR,27.0,0.0,20.0,-20.0
6858.0,2017-01-18 14:26:16,SR,31.0,0.0,40.0,-40.0
6857.0,2017-01-18 14:26:27,SR,36.0,-310.0,50.0,-360.0
6859.0,2017-01-18 14:26:47,SR,35.0,720.0,10.0,710.0
6859.0,2017-01-18 14:26:47,SR,34.0,0.0,10.0,-10.0
6859.0,2017-01-18 14:26:47,SR,33.0,0.0,10.0,-10.0
6859.0,2017-01-18 14:26:47,SR,32.0,0.0,10.0,-10.0
6859.0,2017-01-18 14:26:47,SR,31.0,0.0,10.0,-10.0
6852.0,2017-01-18 14:39:12,SR,36.0,-2170.0,50.0,-2220.0
