stockdate,C,totalposition,profit,comm,equity
2017-01-17 09:12:00,533.6,6.0,-240.0,0.0,-240.0
2017-01-17 09:13:00,533.4,6.0,-120.0,0.0,-120.0
2017-01-17 09:14:00,532.2,6.0,-720.0,0.0,-720.0
2017-01-17 09:15:00,531.4,6.0,-480.0,0.0,-480.0
2017-01-17 09:16:00,531.6,6.0,120.0,0.0,120.0
2017-01-17 09:17:00,531.4,6.0,-120.0,0.0,-120.0
2017-01-17 09:18:00,531.8,6.0,240.0,0.0,240.0
2017-01-17 09:19:00,531.8,6.0,0.0,0.0,0.0
2017-01-17 09:20:00,531.0,6.0,-480.0,0.0,-480.0
2017-01-17 09:21:00,531.6,3.0,360.0,60.0,300.0
2017-01-17 09:22:00,530.4,3.0,-360.0,0.0,-360.0
2017-01-17 09:23:00,532.6,3.0,660.0,0.0,660.0
2017-01-17 09:24:00,533.0,3.0,120.0,0.0,120.0
2017-01-17 09:26:00,533.2,3.0,60.0,0.0,60.0
2017-01-17 09:27:00,532.4,3.0,-240.0,0.0,-240.0
2017-01-17 09:28:00,533.0,3.0,180.0,0.0,180.0
2017-01-17 09:29:00,532.6,3.0,-120.0,0.0,-120.0
2017-01-17 09:30:00,532.0,3.0,-180.0,0.0,-180.0
2017-01-17 09:31:00,531.6,3.0,-120.0,0.0,-120.0
2017-01-17 09:32:00,532.0,3.0,120.0,0.0,120.0
2017-01-17 09:33:00,532.2,3.0,60.0,0.0,60.0
2017-01-17 09:34:00,531.2,3.0,-300.0,0.0,-300.0
2017-01-17 09:35:00,531.6,3.0,120.0,0.0,120.0
2017-01-17 09:36:00,531.6,3.0,0.0,0.0,0.0
2017-01-17 09:37:00,532.2,3.0,180.0,0.0,180.0
2017-01-17 09:38:00,531.2,3.0,-300.0,0.0,-300.0
2017-01-17 09:39:00,531.0,3.0,-60.0,0.0,-60.0
2017-01-17 09:40:00,531.0,3.0,0.0,0.0,0.0
2017-01-17 09:41:00,530.8,3.0,-60.0,0.0,-60.0
2017-01-17 09:42:00,530.4,3.0,-120.0,0.0,-120.0
2017-01-17 09:43:00,529.8,3.0,-180.0,0.0,-180.0
2017-01-17 09:44:00,530.4,3.0,180.0,0.0,180.0
2017-01-17 09:45:00,530.2,3.0,-60.0,0.0,-60.0
2017-01-17 09:46:00,529.8,3.0,-120.0,0.0,-120.0
2017-01-17 09:47:00,530.8,3.0,300.0,0.0,300.0
2017-01-17 09:48:00,531.4,3.0,180.0,0.0,180.0
2017-01-17 09:49:00,531.0,3.0,-120.0,0.0,-120.0
2017-01-17 09:50:00,530.8,3.0,-60.0,0.0,-60.0
2017-01-17 09:51:00,531.0,3.0,60.0,0.0,60.0
2017-01-17 09:52:00,530.8,3.0,-60.0,0.0,-60.0
2017-01-17 09:53:00,531.4,3.0,180.0,0.0,180.0
2017-01-17 09:55:00,531.4,3.0,0.0,0.0,0.0
2017-01-17 09:56:00,530.4,3.0,-300.0,0.0,-300.0
2017-01-17 09:57:00,530.0,3.0,-120.0,0.0,-120.0
2017-01-17 09:58:00,529.8,0.0,-60.0,60.0,-120.0
2017-01-17 09:59:00,521.8,0.0,-0.0,0.0,-0.0
2017-01-17 10:00:00,518.0,0.0,-0.0,0.0,-0.0
2017-01-17 10:01:00,516.4,0.0,-0.0,0.0,-0.0
2017-01-17 10:02:00,518.6,0.0,0.0,0.0,0.0
2017-01-17 10:03:00,517.6,0.0,-0.0,0.0,-0.0
2017-01-17 10:04:00,519.8,0.0,0.0,0.0,0.0
2017-01-17 10:05:00,521.4,0.0,0.0,0.0,0.0
2017-01-17 10:06:00,520.4,0.0,-0.0,0.0,-0.0
2017-01-17 10:07:00,520.4,0.0,0.0,0.0,0.0
2017-01-17 10:08:00,519.6,0.0,-0.0,0.0,-0.0
2017-01-17 10:09:00,518.8,0.0,-0.0,0.0,-0.0
2017-01-17 10:10:00,517.2,0.0,-0.0,0.0,-0.0
2017-01-17 10:11:00,519.0,0.0,0.0,0.0,0.0
2017-01-17 10:12:00,518.6,0.0,-0.0,0.0,-0.0
2017-01-17 10:13:00,519.6,0.0,0.0,0.0,0.0
2017-01-17 10:14:00,519.2,0.0,-0.0,0.0,-0.0
2017-01-17 10:15:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:16:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:17:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:18:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:19:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:20:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:21:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:22:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:24:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:25:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:26:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:27:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:28:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:29:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:30:00,519.2,0.0,0.0,0.0,0.0
2017-01-17 10:31:00,518.8,0.0,-0.0,0.0,-0.0
2017-01-17 10:32:00,519.0,0.0,0.0,0.0,0.0
2017-01-17 10:33:00,518.6,0.0,-0.0,0.0,-0.0
2017-01-17 10:34:00,517.6,0.0,-0.0,0.0,-0.0
2017-01-17 10:35:00,515.8,0.0,-0.0,0.0,-0.0
2017-01-17 10:36:00,516.8,0.0,0.0,0.0,0.0
2017-01-17 10:37:00,517.6,0.0,0.0,0.0,0.0
2017-01-17 10:38:00,518.0,0.0,0.0,0.0,0.0
2017-01-17 10:39:00,517.2,0.0,-0.0,0.0,-0.0
2017-01-17 10:40:00,517.0,0.0,-0.0,0.0,-0.0
2017-01-17 10:41:00,517.4,0.0,0.0,0.0,0.0
2017-01-17 10:42:00,517.2,0.0,-0.0,0.0,-0.0
2017-01-17 10:43:00,517.2,0.0,0.0,0.0,0.0
2017-01-17 10:44:00,517.2,0.0,0.0,0.0,0.0
2017-01-17 10:45:00,516.2,0.0,-0.0,0.0,-0.0
2017-01-17 10:46:00,516.8,0.0,0.0,0.0,0.0
2017-01-17 10:47:00,517.0,0.0,0.0,0.0,0.0
2017-01-17 10:48:00,517.4,0.0,0.0,0.0,0.0
2017-01-17 10:49:00,516.4,0.0,-0.0,0.0,-0.0
2017-01-17 10:50:00,515.8,0.0,-0.0,0.0,-0.0
2017-01-17 10:51:00,514.8,0.0,-0.0,0.0,-0.0
2017-01-17 10:53:00,515.4,0.0,0.0,0.0,0.0
2017-01-17 10:54:00,515.8,0.0,0.0,0.0,0.0
2017-01-17 10:55:00,516.0,0.0,0.0,0.0,0.0
